Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
41.0,2,1102.0,2,1.0,2.0,1,1.0,1.0,2.0,0,94.0,3.0,2.0,7,4.0,2,5993.0,19479.0,8.0,0,1,11.0,3.0,1.0,80.0,0.0,8.0,0.0,1.0,6.0,4.0,0.0,5.0,1
49.0,1,279.0,1,8.0,1.0,1,1.0,2.0,3.0,1,61.0,2.0,2.0,6,2.0,1,5130.0,24907.0,1.0,0,0,23.0,4.0,4.0,80.0,1.0,10.0,3.0,3.0,10.0,7.0,1.0,7.0,0
37.0,2,1373.0,1,2.0,2.0,4,1.0,4.0,4.0,1,92.0,2.0,1.0,2,3.0,2,2090.0,2396.0,6.0,0,1,15.0,3.0,2.0,80.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,1
33.0,1,1392.0,1,3.0,4.0,1,1.0,5.0,4.0,0,56.0,3.0,1.0,6,3.0,1,2909.0,23159.0,1.0,0,1,11.0,3.0,3.0,80.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,0
27.0,2,591.0,1,2.0,1.0,3,1.0,7.0,1.0,1,40.0,3.0,1.0,2,2.0,1,3468.0,16632.0,9.0,0,0,12.0,3.0,4.0,80.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,0
32.0,1,1005.0,1,2.0,2.0,1,1.0,8.0,4.0,1,79.0,3.0,1.0,2,4.0,2,3068.0,11864.0,0.0,0,0,13.0,3.0,3.0,80.0,0.0,8.0,2.0,2.0,7.0,7.0,3.0,6.0,0
59.0,2,1324.0,1,3.0,3.0,3,1.0,10.0,3.0,0,81.0,4.0,1.0,2,1.0,1,2670.0,9964.0,4.0,0,1,20.0,4.0,1.0,80.0,3.0,12.0,3.0,2.0,1.0,0.0,0.0,0.0,0
30.0,2,1358.0,1,24.0,1.0,1,1.0,11.0,4.0,1,67.0,3.0,1.0,2,3.0,0,2693.0,13335.0,1.0,0,0,22.0,4.0,2.0,80.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0
38.0,1,216.0,1,23.0,3.0,1,1.0,12.0,4.0,1,44.0,2.0,3.0,4,3.0,2,9526.0,8787.0,0.0,0,0,21.0,4.0,2.0,80.0,0.0,10.0,2.0,3.0,9.0,7.0,1.0,8.0,0
36.0,2,1299.0,1,27.0,3.0,3,1.0,13.0,3.0,1,94.0,3.0,2.0,0,3.0,1,5237.0,16577.0,6.0,0,0,13.0,3.0,2.0,80.0,2.0,17.0,3.0,2.0,7.0,7.0,7.0,7.0,0
35.0,2,809.0,1,16.0,3.0,3,1.0,14.0,1.0,1,84.0,4.0,1.0,2,2.0,1,2426.0,16479.0,0.0,0,0,13.0,3.0,3.0,80.0,1.0,6.0,5.0,3.0,5.0,4.0,0.0,3.0,0
29.0,2,153.0,1,15.0,2.0,1,1.0,15.0,4.0,0,49.0,2.0,2.0,2,3.0,2,4193.0,12682.0,0.0,0,1,12.0,3.0,4.0,80.0,0.0,10.0,3.0,3.0,9.0,5.0,0.0,8.0,0
31.0,2,670.0,1,26.0,1.0,1,1.0,16.0,1.0,1,31.0,3.0,1.0,6,3.0,0,2911.0,15170.0,1.0,0,0,17.0,3.0,4.0,80.0,1.0,5.0,1.0,2.0,5.0,2.0,4.0,3.0,0
34.0,2,1346.0,1,19.0,2.0,3,1.0,18.0,2.0,1,93.0,3.0,1.0,2,4.0,0,2661.0,8758.0,0.0,0,0,11.0,3.0,3.0,80.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,0
28.0,2,103.0,1,24.0,3.0,1,1.0,19.0,3.0,1,50.0,2.0,1.0,2,3.0,2,2028.0,12947.0,5.0,0,1,14.0,3.0,2.0,80.0,0.0,6.0,4.0,3.0,4.0,2.0,0.0,3.0,1
29.0,2,1389.0,1,21.0,4.0,1,1.0,20.0,2.0,0,51.0,4.0,3.0,4,1.0,0,9980.0,10195.0,1.0,0,0,11.0,3.0,3.0,80.0,1.0,10.0,1.0,3.0,10.0,9.0,8.0,8.0,0
32.0,2,334.0,1,5.0,2.0,1,1.0,21.0,1.0,1,80.0,4.0,1.0,6,2.0,0,3298.0,15053.0,0.0,0,1,12.0,3.0,4.0,80.0,2.0,7.0,5.0,2.0,6.0,2.0,0.0,5.0,0
22.0,0,1123.0,1,16.0,2.0,3,1.0,22.0,4.0,1,96.0,4.0,1.0,2,4.0,0,2935.0,7324.0,1.0,0,1,13.0,3.0,2.0,80.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0
53.0,2,1219.0,2,2.0,4.0,1,1.0,23.0,1.0,0,78.0,2.0,4.0,3,4.0,1,15427.0,22021.0,2.0,0,0,16.0,3.0,3.0,80.0,0.0,31.0,3.0,3.0,25.0,8.0,3.0,7.0,0
38.0,2,371.0,1,2.0,3.0,1,1.0,24.0,4.0,1,45.0,3.0,1.0,6,4.0,2,3944.0,4306.0,5.0,0,1,11.0,3.0,3.0,80.0,0.0,6.0,3.0,3.0,3.0,2.0,1.0,2.0,0
24.0,0,673.0,1,11.0,2.0,4,1.0,26.0,1.0,0,96.0,4.0,2.0,4,3.0,0,4011.0,8232.0,0.0,0,0,18.0,3.0,4.0,80.0,1.0,5.0,5.0,2.0,4.0,2.0,1.0,3.0,0
36.0,2,1218.0,2,9.0,4.0,1,1.0,27.0,3.0,1,82.0,2.0,1.0,8,1.0,2,3407.0,6986.0,7.0,0,0,23.0,4.0,2.0,80.0,0.0,10.0,4.0,3.0,5.0,3.0,0.0,3.0,1
34.0,2,419.0,1,7.0,4.0,1,1.0,28.0,1.0,0,53.0,3.0,3.0,5,2.0,2,11994.0,21293.0,0.0,0,0,11.0,3.0,3.0,80.0,0.0,13.0,4.0,3.0,12.0,6.0,2.0,11.0,0
21.0,2,391.0,1,15.0,2.0,1,1.0,30.0,3.0,1,96.0,3.0,1.0,6,4.0,2,1232.0,19281.0,1.0,0,0,14.0,3.0,4.0,80.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0
