Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,Age_Standardized,DailyRate_Standardized,DistanceFromHome_Standardized,Education_Standardized,EmployeeCount_Standardized,EmployeeNumber_Standardized,EnvironmentSatisfaction_Standardized,HourlyRate_Standardized,JobInvolvement_Standardized,JobLevel_Standardized,JobSatisfaction_Standardized,MonthlyIncome_Standardized,MonthlyRate_Standardized,NumCompaniesWorked_Standardized,PercentSalaryHike_Standardized,PerformanceRating_Standardized,RelationshipSatisfaction_Standardized,StandardHours_Standardized,StockOptionLevel_Standardized,TotalWorkingYears_Standardized,TrainingTimesLastYear_Standardized,WorkLifeBalance_Standardized,YearsAtCompany_Standardized,YearsInCurrentRole_Standardized,YearsSinceLastPromotion_Standardized,YearsWithCurrManager_Standardized,Age_Scaled,DailyRate_Scaled,DistanceFromHome_Scaled,Education_Scaled,EmployeeCount_Scaled,EmployeeNumber_Scaled,EnvironmentSatisfaction_Scaled,HourlyRate_Scaled,JobInvolvement_Scaled,JobLevel_Scaled,JobSatisfaction_Scaled,MonthlyIncome_Scaled,MonthlyRate_Scaled,NumCompaniesWorked_Scaled,PercentSalaryHike_Scaled,PerformanceRating_Scaled,RelationshipSatisfaction_Scaled,StandardHours_Scaled,StockOptionLevel_Scaled,TotalWorkingYears_Scaled,TrainingTimesLastYear_Scaled,WorkLifeBalance_Scaled,YearsAtCompany_Scaled,YearsInCurrentRole_Scaled,YearsSinceLastPromotion_Scaled,YearsWithCurrManager_Scaled,Age_Normalized,DailyRate_Normalized,DistanceFromHome_Normalized,Education_Normalized,EmployeeCount_Normalized,EmployeeNumber_Normalized,EnvironmentSatisfaction_Normalized,HourlyRate_Normalized,JobInvolvement_Normalized,JobLevel_Normalized,JobSatisfaction_Normalized,MonthlyIncome_Normalized,MonthlyRate_Normalized,NumCompaniesWorked_Normalized,PercentSalaryHike_Normalized,PerformanceRating_Normalized,RelationshipSatisfaction_Normalized,StandardHours_Normalized,StockOptionLevel_Normalized,TotalWorkingYears_Normalized,TrainingTimesLastYear_Normalized,WorkLifeBalance_Normalized,YearsAtCompany_Normalized,YearsInCurrentRole_Normalized,YearsSinceLastPromotion_Normalized,YearsWithCurrManager_Normalized
41,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Yes,0.4463504035345031,0.7425265337769018,-1.0109093429124179,-0.8916882501868245,0.0,-1.701282951740758,-0.6605306743650393,1.3831382668932737,0.3796721288811475,-0.05778754527941421,1.1532535902386967,-0.10834951351067117,0.7260199409380492,2.1251359240839385,-1.1505541015749308,-0.42623001504290287,-1.584178240646517,0.0,-0.9320143892374165,-0.42164245835933756,-2.171981830933257,-2.4938204216722384,-0.16461310905422863,-0.063295899399149,-0.6791456840737199,0.24583399463483546,0.5476190476190477,0.7158196134574086,0.0,0.25,0.0,0.0,0.3333333333333333,0.9142857142857141,0.6666666666666667,0.25,1.0,0.2624539231174302,0.6980525998795423,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.15000000000000002,0.2222222222222222,0.0,0.29411764705882354,0.0020087924719359037,0.053992422050569894,4.899493833990009e-05,9.798987667980018e-05,4.899493833990009e-05,4.899493833990009e-05,9.798987667980018e-05,0.004605524203950608,0.00014698481501970026,9.798987667980018e-05,0.00019597975335960036,0.29362666547102123,0.9543724039229138,0.0003919595067192007,0.000538944321738901,0.00014698481501970026,4.899493833990009e-05,0.003919595067192007,0.0,0.0003919595067192007,0.0,4.899493833990009e-05,0.0002939696300394005,0.00019597975335960036,0.0,0.00024497469169950043
49,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,No,1.3223652142096962,-1.2977746019136118,-0.14714972001373974,-1.8684257522543597,0.0,-1.699621324042693,0.2546249253678617,-0.2406767700620191,-1.0261667362455194,-0.05778754527941421,-0.6608531809232983,-0.29171858995657424,1.4888761391146892,-0.6780493930322936,2.1293060069870897,2.346151056253851,1.1914379855160337,0.0,0.24198831185855807,-0.16451140099023315,0.1557070814399298,0.33809616377248186,0.48850772848886465,0.7649976209279952,-0.3687152874355457,0.8065414765793012,0.7380952380952379,0.12670007158196134,0.25,0.0,0.0,0.0004837929366231253,0.6666666666666667,0.4428571428571429,0.3333333333333333,0.25,0.3333333333333333,0.21700895208004214,0.9160008030515961,0.1111111111111111,0.8571428571428571,1.0,1.0,0.0,0.3333333333333333,0.25,0.5,0.6666666666666667,0.25,0.38888888888888884,0.06666666666666667,0.4117647058823529,0.0019267359152930908,0.010970598374832089,0.0003145691290274434,3.9321141128430426e-05,3.9321141128430426e-05,7.864228225686085e-05,0.00011796342338529127,0.002398589608834256,7.864228225686085e-05,7.864228225686085e-05,7.864228225686085e-05,0.20171745398884808,0.9793716620858166,3.9321141128430426e-05,0.0009043862459538998,0.0001572845645137217,0.0001572845645137217,0.0031456912902744338,3.9321141128430426e-05,0.0003932114112843042,0.00011796342338529127,0.00011796342338529127,0.0003932114112843042,0.000275247987899013,3.9321141128430426e-05,0.000275247987899013
37,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Yes,0.008342998196906572,1.4143632382387843,-0.8875151110697495,-0.8916882501868245,0.0,-1.6962980686465632,1.1697805251007627,1.2847252343505287,-1.0261667362455194,-0.9614863916702531,0.24620020465769926,-0.9376536912260358,-1.6748408610979753,1.3242258334793007,-0.057267398720923963,-0.42623001504290287,-0.6589728319256667,0.0,-0.9320143892374165,-0.5502079870438897,0.1557070814399298,0.33809616377248186,-1.1442943653688686,-1.1676872598353414,-0.6791456840737199,-1.1559347102263289,0.4523809523809524,0.9098067287043664,0.03571428571428571,0.25,0.0,0.001451378809869376,1.0,0.8857142857142857,0.3333333333333333,0.0,0.6666666666666667,0.0569246972090574,0.012126079100582207,0.6666666666666666,0.2857142857142857,0.0,0.3333333333333333,0.0,0.0,0.17500000000000002,0.5,0.6666666666666667,0.0,0.0,0.0,0.0,0.010676232780902524,0.39617480022105855,0.0005770936638325689,0.0005770936638325689,0.00028854683191628443,0.0011541873276651377,0.0011541873276651377,0.026546308536298167,0.0005770936638325689,0.00028854683191628443,0.0008656404957488533,0.6030628787050345,0.6913582092714176,0.0017312809914977066,0.004328202478744266,0.0008656404957488533,0.0005770936638325689,0.023083746553302757,0.0,0.002019827823413991,0.0008656404957488533,0.0008656404957488533,0.0,0.0,0.0,0.0
33,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,No,-0.42966440714069,1.4614661806180305,-0.7641208792270812,1.0617867539482457,0.0,-1.6946364409484982,1.1697805251007627,-0.4867093514188816,0.3796721288811475,-0.9614863916702531,0.24620020465769926,-0.7636336754564013,1.2432105837696696,-0.6780493930322936,-1.1505541015749308,-0.42623001504290287,0.26623257679518353,0.0,-0.9320143892374165,-0.42164245835933756,0.1557070814399298,0.33809616377248186,0.16194730971731802,0.7649976209279952,0.2521455058408027,-1.1559347102263289,0.35714285714285715,0.9234073013600572,0.07142857142857142,0.75,0.0,0.0019351717464925013,1.0,0.3714285714285714,0.6666666666666667,0.0,0.6666666666666667,0.10005265929436546,0.845814093555511,0.1111111111111111,0.0,0.0,0.6666666666666667,0.0,0.0,0.2,0.5,0.6666666666666667,0.2,0.38888888888888884,0.2,0.0,0.0014113002953530295,0.059531212458527785,0.0001283000268502754,0.00017106670246703386,4.2766675616758465e-05,0.00021383337808379235,0.00017106670246703386,0.002394933834538474,0.0001283000268502754,4.2766675616758465e-05,0.0001283000268502754,0.12440825936915038,0.9904334406085094,4.2766675616758465e-05,0.00047043343178434317,0.0001283000268502754,0.0001283000268502754,0.0034213340493406776,0.0,0.0003421334049340677,0.0001283000268502754,0.0001283000268502754,0.0003421334049340677,0.00029936672931730926,0.0001283000268502754,0.0
27,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,No,-1.0866755151470848,-0.5242947060017769,-0.8875151110697495,-1.8684257522543597,0.0,-1.6913131855523684,-1.5756862740979403,-1.2740136117608418,0.3796721288811475,-0.9614863916702531,-0.6608531809232983,-0.6448581091374443,0.3258998974213038,2.5255909693862573,-0.8772324258614291,-0.42623001504290287,1.1914379855160337,0.0,0.24198831185855807,-0.678773515728442,0.1557070814399298,0.33809616377248186,-0.8177339465973219,-0.6154915796172451,-0.058284890797371494,-0.5952272282818631,0.21428571428571425,0.35003579098067283,0.03571428571428571,0.0,0.0,0.002902757619738752,0.0,0.14285714285714285,0.6666666666666667,0.0,0.3333333333333333,0.1294892048446551,0.5837382051796828,1.0,0.0714285714285714,0.0,1.0,0.0,0.3333333333333333,0.15000000000000002,0.5,0.6666666666666667,0.05,0.1111111111111111,0.13333333333333333,0.11764705882352941,0.0015882109792882777,0.03476417365775452,0.0001176452577250576,5.88226288625288e-05,5.88226288625288e-05,0.0004117584020377016,5.88226288625288e-05,0.002352905154501152,0.00017646788658758642,5.88226288625288e-05,0.0001176452577250576,0.2039968768952499,0.9783379632415791,0.0005294036597627592,0.0007058715463503457,0.00017646788658758642,0.0002352905154501152,0.004705810309002304,5.88226288625288e-05,0.00035293577317517283,0.00017646788658758642,0.00017646788658758642,0.0001176452577250576,0.0001176452577250576,0.0001176452577250576,0.0001176452577250576
32,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,No,-0.5391662584750891,0.5020536174196967,-0.8875151110697495,-0.8916882501868245,0.0,-1.6896515578543037,1.1697805251007627,0.645040522822686,0.3796721288811475,-0.9614863916702531,1.1532535902386967,-0.7298495698307945,-0.34419928329096944,-1.0785044383346125,-0.6039107501479274,-0.42623001504290287,0.26623257679518353,0.0,-0.9320143892374165,-0.42164245835933756,-0.6201892226844657,-1.0778621289498782,-0.0013328996684553085,0.7649976209279952,0.2521455058408027,0.5261877356070683,0.3333333333333333,0.64638511095204,0.03571428571428571,0.25,0.0,0.003386550556361877,1.0,0.7,0.6666666666666667,0.0,1.0,0.10842548709847288,0.3922907046777755,0.0,0.1428571428571428,0.0,0.6666666666666667,0.0,0.0,0.2,0.3333333333333333,0.3333333333333333,0.17500000000000002,0.38888888888888884,0.2,0.3529411764705882,0.0026024748360239333,0.08173397531887665,0.00016265467725149583,0.00016265467725149583,8.132733862574791e-05,0.0006506187090059833,0.00032530935450299166,0.006424859751434085,0.00024398201587724373,8.132733862574791e-05,0.00032530935450299166,0.2495122749037946,0.9648675454558733,0.0,0.0010572554021347229,0.00024398201587724373,0.00024398201587724373,0.006506187090059833,0.0,0.0006506187090059833,0.00016265467725149583,0.00016265467725149583,0.0005692913703802354,0.0005692913703802354,0.00024398201587724373,0.00048796403175448746
59,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,No,2.4173837275536876,1.2928872289449382,-0.7641208792270812,0.08504925188071055,0.0,-1.6863283024581739,0.2546249253678617,0.743453555365431,1.7855109940078144,-0.9614863916702531,-1.5679065665042957,-0.814416073220678,-0.6112270608399039,0.523315742874663,1.3093409798465847,2.346151056253851,-1.584178240646517,0.0,2.5899937140505074,0.09261965637887129,0.1557070814399298,-1.0778621289498782,-0.9810141559830953,-1.1676872598353414,-0.6791456840737199,-1.1559347102263289,0.976190476190476,0.8747315676449534,0.07142857142857142,0.5,0.0,0.0043541364296081275,0.6666666666666667,0.7285714285714284,1.0,0.0,0.0,0.08746708794102159,0.31600080305159606,0.4444444444444444,0.6428571428571427,1.0,0.0,0.0,1.0,0.30000000000000004,0.5,0.3333333333333333,0.025,0.0,0.0,0.0,0.005672543049454932,0.1272957118216666,0.000288434392345166,0.000288434392345166,9.614479744838867e-05,0.0009614479744838867,0.000288434392345166,0.007787728593319483,0.0003845791897935547,9.614479744838867e-05,9.614479744838867e-05,0.2567066091871978,0.9579867617757447,0.0003845791897935547,0.0019228959489677735,0.0003845791897935547,9.614479744838867e-05,0.007691583795871094,0.000288434392345166,0.001153737569380664,0.000288434392345166,0.00019228959489677735,9.614479744838867e-05,0.0,0.0,0.0
30,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,No,-0.7581699611438873,1.3771767047814845,1.827157989468953,-1.8684257522543597,0.0,-1.684666674760109,1.1697805251007627,0.05456232756621595,0.3796721288811475,-0.9614863916702531,0.24620020465769926,-0.8095290642308104,-0.1374635670938734,-0.6780493930322936,1.855984331273588,2.346151056253851,-0.6589728319256667,0.0,0.24198831185855807,-1.3216011591512031,-0.6201892226844657,0.33809616377248186,-0.9810141559830953,-1.1676872598353414,-0.6791456840737199,-1.1559347102263289,0.28571428571428564,0.8990694345025053,0.8214285714285714,0.0,0.0,0.004837929366231252,1.0,0.5285714285714285,0.6666666666666667,0.0,0.6666666666666667,0.08867825171142707,0.45135514956835976,0.1111111111111111,0.7857142857142857,1.0,0.3333333333333333,0.0,0.3333333333333333,0.025,0.3333333333333333,0.6666666666666667,0.025,0.0,0.0,0.0,0.0021942181234179616,0.09932494038671973,0.0017553744987343692,7.314060411393205e-05,7.314060411393205e-05,0.0008045466452532526,0.0002925624164557282,0.0049004204756334475,0.00021942181234179615,7.314060411393205e-05,0.00021942181234179615,0.196967646878819,0.975329955859284,7.314060411393205e-05,0.0016090932905065052,0.0002925624164557282,0.0001462812082278641,0.0058512483291145645,7.314060411393205e-05,7.314060411393205e-05,0.0001462812082278641,0.00021942181234179615,7.314060411393205e-05,0.0,0.0,0.0
38,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,No,0.11784484953130571,-1.4539580424342708,1.7037637576262845,0.08504925188071055,0.0,-1.683005047062044,1.1697805251007627,-1.0771875466753518,-1.0261667362455194,0.8459113011114247,0.24620020465769926,0.6423375630633446,-0.7766437419846911,-1.0785044383346125,1.5826626555600865,2.346151056253851,-0.6589728319256667,0.0,-0.9320143892374165,-0.16451140099023315,-0.6201892226844657,0.33809616377248186,0.32522751910309133,0.7649976209279952,-0.3687152874355457,1.086895217551534,0.4761904761904761,0.0816034359341446,0.7857142857142857,0.5,0.0,0.005321722302854378,1.0,0.2,0.3333333333333333,0.5,0.6666666666666667,0.44849921011058447,0.2687412166231681,0.0,0.7142857142857143,1.0,0.3333333333333333,0.0,0.0,0.25,0.3333333333333333,0.6666666666666667,0.225,0.38888888888888884,0.06666666666666667,0.47058823529411764,0.002931641753102828,0.01666406891237397,0.00177441474529908,0.00023144540156074957,7.714846718691653e-05,0.0009257816062429983,0.0003085938687476661,0.003394532556224327,0.00015429693437383305,0.00023144540156074957,0.00023144540156074957,0.7349162984225668,0.6779035811714355,0.0,0.001620117810925247,0.0003085938687476661,0.00015429693437383305,0.006171877374953322,0.0,0.0007714846718691652,0.00015429693437383305,0.00023144540156074957,0.0006943362046822487,0.0005400392703084157,7.714846718691653e-05,0.0006171877374953322
36,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7,No,-0.10115885313749257,1.230909673182772,2.197340684996958,0.08504925188071055,0.0,-1.6813434193639791,0.2546249253678617,1.3831382668932737,0.3796721288811475,-0.05778754527941421,0.24620020465769926,-0.2689833742211031,0.31817014596593995,1.3242258334793007,-0.6039107501479274,-0.42623001504290287,-0.6589728319256667,0.0,1.4159910129545328,0.7354472998016324,0.1557070814399298,-1.0778621289498782,-0.0013328996684553085,0.7649976209279952,1.4938670923934996,0.8065414765793012,0.42857142857142855,0.8568360773085182,0.9285714285714285,0.5,0.0,0.005805515239477503,0.6666666666666667,0.9142857142857141,0.6666666666666667,0.25,0.6666666666666667,0.22264349657714586,0.5815298132905039,0.6666666666666666,0.1428571428571428,0.0,0.3333333333333333,0.0,0.6666666666666666,0.42500000000000004,0.5,0.3333333333333333,0.17500000000000002,0.38888888888888884,0.4666666666666667,0.4117647058823529,0.0020649838131116273,0.07451149925644455,0.0015487378598337206,0.00017208198442596895,5.736066147532298e-05,0.0007456885991791988,0.00017208198442596895,0.00539190217868036,0.00017208198442596895,0.00011472132295064596,0.00017208198442596895,0.30039778414626644,0.9508676852764291,0.0003441639688519379,0.0007456885991791988,0.00017208198442596895,0.00011472132295064596,0.0045888529180258385,0.00011472132295064596,0.0009751312450804907,0.00017208198442596895,0.00011472132295064596,0.00040152463032726087,0.00040152463032726087,0.00040152463032726087,0.00040152463032726087
