Feature,Importance
numeric__MonthlyIncome,0.12756809920967246
numeric__Age,0.1017346900052475
numeric__EmployeeNumber,0.0624229138383954
numeric__MonthlyRate,0.05916905887880529
numeric__TotalWorkingYears,0.05390620635729363
numeric__DailyRate,0.04947861310169552
categorical__OverTime_No,0.04601239672749551
numeric__JobInvolvement,0.03138411612522011
numeric__WorkLifeBalance,0.029038706199754946
numeric__NumCompaniesWorked,0.027531577757730744
numeric__HourlyRate,0.026193800543705504
numeric__PercentSalaryHike,0.025046132387010017
numeric__RelationshipSatisfaction,0.024623717615171743
numeric__DistanceFromHome,0.023903042592863206
numeric__StockOptionLevel,0.023820885877618242
categorical__OverTime_Yes,0.023348292083429294
numeric__EnvironmentSatisfaction,0.0225830738923701
numeric__JobSatisfaction,0.020472326308210113
numeric__YearsWithCurrManager,0.019712567439963614
numeric__YearsSinceLastPromotion,0.019534455504160816
numeric__YearsInCurrentRole,0.018054575319409565
categorical__BusinessTravel_Non-Travel,0.01655117319043065
categorical__JobRole_Laboratory Technician,0.016172362925843658
numeric__JobLevel,0.013384096426150106
numeric__YearsAtCompany,0.011927337226225208
categorical__Department_Research & Development,0.011859772802257043
categorical__EducationField_Technical Degree,0.011775929048814393
categorical__JobRole_Research Director,0.01164235985754665
categorical__JobRole_Sales Representative,0.011253620181796436
categorical__BusinessTravel_Travel_Frequently,0.010172134938832917
numeric__Education,0.0073104386896002274
categorical__Gender_Female,0.006800937244751894
categorical__JobRole_Research Scientist,0.006625983025402608
numeric__TrainingTimesLastYear,0.006244248773528979
categorical__EducationField_Other,0.0042583974084875005
categorical__JobRole_Healthcare Representative,0.004128475764641688
categorical__JobRole_Sales Executive,0.004018706904835849
categorical__EducationField_Marketing,0.003252277082241808
categorical__EducationField_Medical,0.0028165086747661693
categorical__EducationField_Human Resources,0.0022428567001927754
categorical__MaritalStatus_Divorced,0.0020231353684296025
categorical__Gender_Male,5.273538323324438e-16
numeric__StandardHours,0.0
categorical__JobRole_Human Resources,0.0
categorical__EducationField_Life Sciences,0.0
categorical__JobRole_Manager,0.0
categorical__JobRole_Manufacturing Director,0.0
categorical__Department_Sales,0.0
categorical__Department_Human Resources,0.0
categorical__BusinessTravel_Travel_Rarely,0.0
categorical__MaritalStatus_Married,0.0
categorical__MaritalStatus_Single,0.0
categorical__Over18_Y,0.0
numeric__EmployeeCount,0.0
numeric__PerformanceRating,0.0
