,Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
Age,1.0,0.010660942645538442,-0.0016861201480871469,0.20803373101423983,,-0.0101454670768599,0.010146427861437253,0.024286542550967193,0.029819958629590585,0.509604228432384,-0.004891877148687139,0.4978545669265799,0.028051167133922705,0.2996347579836926,0.0036335849148618803,0.0019038955127587442,0.053534719671229365,,0.03750971242477751,0.6803805357911984,-0.019620818942698487,-0.021490027957098697,0.3113087697450989,0.21290105556556793,0.2165133678516537,0.20208860237515267
DailyRate,0.010660942645538442,1.0,-0.004985337352552635,-0.016806433209157614,,-0.05099043365447753,0.018354854300385522,0.023381421528320488,0.04613487399781112,0.0029663348551115876,0.030571007837143987,0.00770705887200606,-0.03218160152258195,0.03815343427940981,0.022703677496334965,0.00047329632718857745,0.007846030957248399,,0.042142796377206665,0.014514738706320921,0.0024525427120831262,-0.037848051005781765,-0.03405476756854741,0.009932014960094241,-0.03322898478777201,-0.026363178228837648
DistanceFromHome,-0.0016861201480871469,-0.004985337352552635,1.0,0.021041825624123385,,0.03291640719924384,-0.016075326996493538,0.03113058561176576,0.008783279886444223,0.005302730554496208,-0.0036688391677205845,-0.017014444745275872,0.027472863548884112,-0.02925080419729302,0.04023537745919307,0.027109618481975985,0.006557474646578781,,0.04487199885318152,0.004628425863783848,-0.03694223433991581,-0.026556004106569032,0.009507719899011292,0.018844999108945746,0.010028835943115388,0.014406048430629982
Education,0.20803373101423983,-0.016806433209157614,0.021041825624123385,1.0,,0.042070093029327675,-0.027128313256511792,0.016774828880960737,0.042437634318607934,0.10158888624850047,-0.011296116736574,0.09496067704188885,-0.02608419716004752,0.12631656017668452,-0.011110940860654171,-0.02453879116483358,-0.009118376696381549,,0.018422220204016834,0.14827969653887327,-0.02510024113793335,0.00981918930978192,0.06911369603133861,0.06023555412069576,0.05425433359132023,0.0690653782552846
EmployeeCount,,,,,,,,,,,,,,,,,,,,,,,,,,
EmployeeNumber,-0.0101454670768599,-0.05099043365447753,0.03291640719924384,0.042070093029327675,,1.0,0.017620802485586545,0.03517921241870862,-0.006887922987037523,-0.01851919397422718,-0.0462467349394177,-0.01482851587378469,0.012648229168461405,-0.0012510320398018576,-0.012943995546151693,-0.020358825146958446,-0.06986141146763768,,0.062226692513623116,-0.014365198461301108,0.023603169591926723,0.0103086414379659,-0.01124046370811405,-0.008416311998425956,-0.009019064206633414,-0.009196645292770467
EnvironmentSatisfaction,0.010146427861437253,0.018354854300385522,-0.016075326996493538,-0.027128313256511792,,0.017620802485586545,1.0,-0.04985695620300062,-0.008277598171759092,0.0012116994489138901,-0.006784352599075003,-0.006259087754780172,0.03759962286571536,0.012594323218943276,-0.03170119524179209,-0.029547952297680934,0.00766538354107456,,0.0034321577550574123,-0.0026930703885342092,-0.019359308347132505,0.02762729546011543,0.0014575491911164825,0.018007460142878535,0.01619360556845335,-0.004998722628107572
HourlyRate,0.024286542550967193,0.023381421528320488,0.03113058561176576,0.016774828880960737,,0.03517921241870862,-0.04985695620300062,1.0,0.04286064097152978,-0.02785348640554719,-0.07133462437378799,-0.015794304380893,-0.015296749550649696,0.022156883390196846,-0.009061986253740174,-0.002171697427810238,0.0013304527859508092,,0.05026339906511952,-0.0023336818233222994,-0.008547685209270621,-0.004607233750264546,-0.019581616209121286,-0.02410622020878496,-0.026715586064335238,-0.02012320018406598
JobInvolvement,0.029819958629590585,0.04613487399781112,0.008783279886444223,0.042437634318607934,,-0.006887922987037523,-0.008277598171759092,0.04286064097152978,1.0,-0.012629882671190633,-0.02147591033530647,-0.015271490778732844,-0.016322079053317298,0.015012413243111008,-0.017204572244480378,-0.029071333439069803,0.034296820611197765,,0.02152264037802388,-0.0055331820574074445,-0.015337825759429127,-0.014616593162761878,-0.02135542697962974,0.0087169634976117,-0.02418429236517908,0.02597580794908897
JobLevel,0.509604228432384,0.0029663348551115876,0.005302730554496208,0.10158888624850047,,-0.01851919397422718,0.0012116994489138901,-0.02785348640554719,-0.012629882671190633,1.0,-0.0019437080267456475,0.9502999134798473,0.039562951045683886,0.14250112381048732,-0.03473049227941818,-0.021222082108857194,0.02164151053259162,,0.013983910528615466,0.7822078045362748,-0.01819055019354939,0.03781774559666641,0.5347386873756309,0.3894467328766706,0.3538853469641022,0.37528060776572625
