,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
count,1470.0,1470,1470,1470.0,1470,1470.0,1470.0,1470,1470.0,1470.0,1470.0,1470,1470.0,1470.0,1470.0,1470,1470.0,1470,1470.0,1470.0,1470.0,1470,1470,1470.0,1470.0,1470.0,1470.0,1470.0,1470.0,1470.0,1470.0,1470.0,1470.0,1470.0,1470.0
unique,,2,3,,3,,,6,,,,2,,,,9,,3,,,,1,2,,,,,,,,,,,,
top,,No,Travel_Rarely,,Research & Development,,,Life Sciences,,,,Male,,,,Sales Executive,,Married,,,,Y,No,,,,,,,,,,,,
freq,,1233,1043,,961,,,606,,,,882,,,,326,,673,,,,1470,1054,,,,,,,,,,,,
mean,36.923809523809524,,,802.4857142857143,,9.19251700680272,2.912925170068027,,1.0,1024.865306122449,2.721768707482993,,65.89115646258503,2.7299319727891156,2.0639455782312925,,2.7285714285714286,,6502.931292517007,14313.103401360544,2.6931972789115646,,,15.209523809523809,3.1537414965986397,2.7122448979591836,80.0,0.7938775510204081,11.279591836734694,2.7993197278911564,2.7612244897959184,7.0081632653061225,4.229251700680272,2.1877551020408164,4.12312925170068
std,9.135373489136732,,,403.50909994352816,,8.106864435666074,1.0241649445978729,,0.0,602.0243348474751,1.0930822146350005,,20.329427593996165,0.7115611429632304,1.106939898935122,,1.1028461230547204,,4707.956783097994,7117.786044059976,2.498009006070747,,,3.6599377165396407,0.36082352460434397,1.0812088864403524,0.0,0.852076667930838,7.780781675514997,1.2892706207958455,0.7064758297141507,6.126525152403569,3.623137034670628,3.222430279137967,3.5681361205404376
min,18.0,,,102.0,,1.0,1.0,,1.0,1.0,1.0,,30.0,1.0,1.0,,1.0,,1009.0,2094.0,0.0,,,11.0,3.0,1.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25%,30.0,,,465.0,,2.0,2.0,,1.0,491.25,2.0,,48.0,2.0,1.0,,2.0,,2911.0,8047.0,1.0,,,12.0,3.0,2.0,80.0,0.0,6.0,2.0,2.0,3.0,2.0,0.0,2.0
50%,36.0,,,802.0,,7.0,3.0,,1.0,1020.5,3.0,,66.0,3.0,2.0,,3.0,,4919.0,14235.5,2.0,,,14.0,3.0,3.0,80.0,1.0,10.0,3.0,3.0,5.0,3.0,1.0,3.0
75%,43.0,,,1157.0,,14.0,4.0,,1.0,1555.75,4.0,,83.75,3.0,3.0,,4.0,,8379.0,20461.5,4.0,,,18.0,3.0,4.0,80.0,1.0,15.0,3.0,3.0,9.0,7.0,3.0,7.0
max,60.0,,,1499.0,,29.0,5.0,,1.0,2068.0,4.0,,100.0,4.0,5.0,,4.0,,19999.0,26999.0,9.0,,,25.0,4.0,4.0,80.0,3.0,40.0,6.0,4.0,40.0,18.0,15.0,17.0
