Feature,Importance
numeric__MonthlyIncome,0.08983426382506288
numeric__TotalWorkingYears,0.072518846701935
numeric__Age,0.061036426126279276
numeric__YearsAtCompany,0.05097108743331245
categorical__OverTime_Yes,0.044287333033960825
numeric__YearsWithCurrManager,0.0430164026643535
numeric__DailyRate,0.04128389188053707
numeric__DistanceFromHome,0.04095740543375024
categorical__OverTime_No,0.040728846072096474
numeric__MonthlyRate,0.03609755085746795
numeric__NumCompaniesWorked,0.03444087677207859
numeric__HourlyRate,0.032516309725789845
numeric__EmployeeNumber,0.02834084701625567
numeric__EnvironmentSatisfaction,0.026888243635411823
numeric__YearsInCurrentRole,0.026207215028094123
numeric__StockOptionLevel,0.023700639713440053
numeric__PercentSalaryHike,0.023640724765646697
categorical__MaritalStatus_Single,0.021232115875274026
numeric__JobSatisfaction,0.020758272666624774
numeric__RelationshipSatisfaction,0.019938809668595976
numeric__JobLevel,0.019475118058849324
numeric__WorkLifeBalance,0.018585890029381377
numeric__JobInvolvement,0.017032932616421328
numeric__YearsSinceLastPromotion,0.01400844834560601
numeric__Education,0.013840937945020549
numeric__TrainingTimesLastYear,0.012456225328551545
categorical__JobRole_Laboratory Technician,0.011789042213493963
categorical__JobRole_Sales Representative,0.011241384538337984
categorical__BusinessTravel_Travel_Frequently,0.010856839745921314
categorical__Department_Sales,0.009145446137515494
categorical__MaritalStatus_Married,0.009115776161944956
categorical__JobRole_Sales Executive,0.008487955209548141
categorical__Department_Research & Development,0.00708044697120637
categorical__JobRole_Research Scientist,0.00679221275987262
categorical__EducationField_Life Sciences,0.006431143618081249
categorical__Gender_Female,0.00618590059454222
categorical__BusinessTravel_Travel_Rarely,0.005841775980122984
categorical__Gender_Male,0.005818087256114236
categorical__EducationField_Medical,0.005748216010459014
categorical__MaritalStatus_Divorced,0.0047652349239079884
categorical__EducationField_Marketing,0.00421202405592701
categorical__EducationField_Technical Degree,0.0029171804855762868
categorical__BusinessTravel_Non-Travel,0.0027874774966522354
numeric__PerformanceRating,0.002120706153195379
categorical__EducationField_Human Resources,0.0010803678343502753
categorical__JobRole_Human Resources,0.0008939656819106742
categorical__JobRole_Manufacturing Director,0.0008155564960617075
categorical__JobRole_Manager,0.0005520166804444198
categorical__Department_Human Resources,0.0005423740858421531
categorical__JobRole_Research Director,0.0004865838363464888
categorical__JobRole_Healthcare Representative,0.0002666382645446942
categorical__EducationField_Other,0.0002299855882827651
numeric__StandardHours,0.0
categorical__Over18_Y,0.0
numeric__EmployeeCount,0.0
