Feature,Ridge_L2,Lasso_L1,Elastic_Net
Age,-0.04893349108886399,-0.04139603560225245,-0.04500985575696475
BusinessTravel,-0.002138182373914747,-0.0,-0.0
DailyRate,-0.0193486494945249,-0.011897332204982413,-0.015864131419420568
Department,0.0733163523565116,0.009018285315205852,0.02994370321552112
DistanceFromHome,0.03178380757876419,0.022238832956648562,0.026757165520702064
Education,0.0018597454741727107,0.0,0.0
EducationField,-0.0038267973110600777,-0.0,-0.0007296121414915927
EmployeeCount,0.0,0.0,0.0
EmployeeNumber,0.006802751806296437,0.0,0.0026510712086142184
EnvironmentSatisfaction,-0.04641054790073811,-0.03484487988008947,-0.040241061107701565
Gender,0.02654968036275004,0.0,0.0033507885700594345
HourlyRate,-0.009540280575995347,-0.0,-0.002981981664292451
JobInvolvement,-0.04033483790770154,-0.03310352070039757,-0.03727979853397522
JobLevel,-0.017884856912442695,-0.00016101476778783755,-0.005965587096336527
JobRole,-0.007610238552440297,0.00019431729858492816,-0.0006024221490383309
JobSatisfaction,-0.03843529296862721,-0.02791898576921242,-0.032578476115565747
MaritalStatus,0.04346543292998161,0.026806851853208875,0.03381091856498416
MonthlyIncome,-0.005309001968811507,-0.008928257831198976,-0.00863346702431155
MonthlyRate,0.0014244500677654767,0.0,0.0
NumCompaniesWorked,0.043963882662329215,0.026316053098359157,0.0336807907919438
Over18,0.0,0.0,0.0
OverTime,0.19324677200182377,0.13868673172248563,0.16130221560294267
PercentSalaryHike,-0.017627728822421022,-0.0,-0.0008845063972391791
PerformanceRating,0.015016161988209925,0.0,0.0
RelationshipSatisfaction,-0.024400597296542842,-0.011303166148706313,-0.01727094215319631
StandardHours,0.0,0.0,0.0
StockOptionLevel,-0.027065082081159028,-0.0267334874845354,-0.027560878016249016
TotalWorkingYears,-0.02743202369731407,-0.019645264859180226,-0.020902122276498833
TrainingTimesLastYear,-0.01225604371914929,-0.0026245025531729995,-0.007581530729818334
WorkLifeBalance,-0.02518205672987851,-0.01741407839904006,-0.021660401250378648
YearsAtCompany,0.017359372453552943,-0.0,-0.0
YearsInCurrentRole,-0.02861798310248429,-0.015528708447478218,-0.02016605032440619
YearsSinceLastPromotion,0.030750331355093516,0.011258995872057781,0.02283038433788474
YearsWithCurrManager,-0.03791175186360558,-0.02344657102790286,-0.02744736246624011
